REGION,FUEL,YEAR,VALUE
REGION1,EENG,2028,9,27281781011719
REGION1,EENG,2029,8,38563917677986
REGION1,EENG,2030,7,49846054344253
REGION1,EENG,2031,8,2135887309243
REGION1,EENG,2032,8,92871691840606
REGION1,EENG,2033,9,64384510588783
REGION1,EENG,2034,10,3589732933696
REGION1,EENG,2035,11,0741014808514
REGION1,EENG,2036,11,1274285510258
REGION1,EENG,2037,11,1807556212002
REGION1,EENG,2038,11,2340826913747
REGION1,EENG,2039,11,2874097615491
REGION1,EENG,2040,11,3407368317236
REGION1,EENG,2041,11,4684177838311
REGION1,EENG,2042,11,5960987359386
REGION1,EENG,2043,11,7237796880461
REGION1,EENG,2044,11,8514606401536
REGION1,EENG,2045,11,9791415922611
REGION1,EENG,2046,11,9529177927943
REGION1,EENG,2047,11,9266939933274
REGION1,EENG,2048,11,9004701938606
REGION1,EENG,2049,11,8742463943937
REGION1,EENG,2050,11,8480225949269
REGION1,EENG,2051,11,8480225949269
REGION1,EENG,2052,11,8480225949269
REGION1,EENG,2053,11,8480225949269
REGION1,EENG,2054,11,8480225949269
REGION1,EENG,2055,11,8480225949269
REGION1,EENG,2056,11,8480225949269
REGION1,EENG,2057,11,8480225949269
REGION1,EENG,2058,11,8480225949269
REGION1,EENG,2059,11,8480225949269
REGION1,EENG,2060,11,8480225949269
REGION1,GRNG,2015,53,704925558528
REGION1,GRNG,2016,51,5776821191919
REGION1,GRNG,2017,49,4504386798559
REGION1,GRNG,2018,47,3231952405198
REGION1,GRNG,2019,45,1959518011837
REGION1,GRNG,2020,43,0687083618476
REGION1,GRNG,2021,47,4187103183734
REGION1,GRNG,2022,51,7687122748992
REGION1,GRNG,2023,56,118714231425
REGION1,GRNG,2024,60,4687161879507
REGION1,GRNG,2025,64,8187181444764
REGION1,GRNG,2026,65,9717614361233
REGION1,GRNG,2027,67,1248047277701
REGION1,GRNG,2028,68,277848019417
REGION1,GRNG,2029,69,4308913110638
REGION1,GRNG,2030,70,5839346027107
REGION1,GRNG,2031,72,7571901169963
REGION1,GRNG,2032,74,9304456312818
REGION1,GRNG,2033,77,1037011455674
REGION1,GRNG,2034,79,276956659853
REGION1,GRNG,2035,81,4502121741386
REGION1,GRNG,2036,83,2539029611024
REGION1,GRNG,2037,85,0575937480663
REGION1,GRNG,2038,86,8612845350301
REGION1,GRNG,2039,88,6649753219939
REGION1,GRNG,2040,90,4686661089577
REGION1,GRNG,2041,93,2411342556754
REGION1,GRNG,2042,96,0136024023931
REGION1,GRNG,2043,98,7860705491109
REGION1,GRNG,2044,101,558538695829
REGION1,GRNG,2045,104,331006842546
REGION1,GRNG,2046,103,781575052529
REGION1,GRNG,2047,103,232143262512
REGION1,GRNG,2048,102,682711472495
REGION1,GRNG,2049,102,133279682479
REGION1,GRNG,2050,101,583847892462
REGION1,GRNG,2051,101,583847892462
REGION1,GRNG,2052,101,583847892462
REGION1,GRNG,2053,101,583847892462
REGION1,GRNG,2054,101,583847892462
REGION1,GRNG,2055,101,583847892462
REGION1,GRNG,2056,101,583847892462
REGION1,GRNG,2057,101,583847892462
REGION1,GRNG,2058,101,583847892462
REGION1,GRNG,2059,101,583847892462
REGION1,GRNG,2060,101,583847892462
REGION1,ESNG,2015,614,665469806104
REGION1,ESNG,2016,596,936912613144
REGION1,ESNG,2017,579,208355420184
REGION1,ESNG,2018,561,479798227223
REGION1,ESNG,2019,543,751241034263
REGION1,ESNG,2020,526,022683841303
REGION1,ESNG,2021,536,888439825227
REGION1,ESNG,2022,547,75419580915
REGION1,ESNG,2023,558,619951793074
REGION1,ESNG,2024,569,485707776998
REGION1,ESNG,2025,580,351463760922
REGION1,ESNG,2026,578,057611471635
REGION1,ESNG,2027,575,763759182349
REGION1,ESNG,2028,573,469906893062
REGION1,ESNG,2029,571,176054603776
REGION1,ESNG,2030,568,882202314489
REGION1,ESNG,2031,564,980970839016
REGION1,ESNG,2032,561,079739363542
REGION1,ESNG,2033,557,178507888068
REGION1,ESNG,2034,553,277276412594
REGION1,ESNG,2035,549,376044937121
REGION1,ESNG,2036,552,186238981604
REGION1,ESNG,2037,554,996433026087
REGION1,ESNG,2038,557,80662707057
REGION1,ESNG,2039,560,616821115054
REGION1,ESNG,2040,563,427015159537
REGION1,ESNG,2041,563,723078333217
REGION1,ESNG,2042,564,019141506897
REGION1,ESNG,2043,564,315204680577
REGION1,ESNG,2044,564,611267854257
REGION1,ESNG,2045,564,907331027938
REGION1,ESNG,2046,566,515321661355
REGION1,ESNG,2047,568,123312294772
REGION1,ESNG,2048,569,73130292819
REGION1,ESNG,2049,571,339293561607
REGION1,ESNG,2050,572,947284195024
REGION1,ESNG,2051,572,947284195024
REGION1,ESNG,2052,572,947284195024
REGION1,ESNG,2053,572,947284195024
REGION1,ESNG,2054,572,947284195024
REGION1,ESNG,2055,572,947284195024
REGION1,ESNG,2056,572,947284195024
REGION1,ESNG,2057,572,947284195024
REGION1,ESNG,2058,572,947284195024
REGION1,ESNG,2059,572,947284195024
REGION1,ESNG,2060,572,947284195024
REGION1,FING,2015,46,4535833305709
REGION1,FING,2016,44,1885424656588
REGION1,FING,2017,41,9235016007468
REGION1,FING,2018,39,6584607358348
REGION1,FING,2019,37,3934198709227
REGION1,FING,2020,35,1283790060107
REGION1,FING,2021,37,058641977512
REGION1,FING,2022,38,9889049490133
REGION1,FING,2023,40,9191679205147
REGION1,FING,2024,42,849430892016
REGION1,FING,2025,44,7796938635173
REGION1,FING,2026,49,2721921841407
REGION1,FING,2027,53,7646905047641
REGION1,FING,2028,58,2571888253875
REGION1,FING,2029,62,7496871460109
REGION1,FING,2030,67,2421854666344
REGION1,FING,2031,67,9819345004694
REGION1,FING,2032,68,7216835343045
REGION1,FING,2033,69,4614325681396
REGION1,FING,2034,70,2011816019746
REGION1,FING,2035,70,9409306358096
REGION1,FING,2036,70,9400805684888
REGION1,FING,2037,70,9392305011681
REGION1,FING,2038,70,9383804338473
REGION1,FING,2039,70,9375303665265
REGION1,FING,2040,70,9366802992056
REGION1,FING,2041,71,2321615500833
REGION1,FING,2042,71,527642800961
REGION1,FING,2043,71,8231240518387
REGION1,FING,2044,72,1186053027164
REGION1,FING,2045,72,4140865535941
REGION1,FING,2046,71,7282064042868
REGION1,FING,2047,71,0423262549795
REGION1,FING,2048,70,3564461056722
REGION1,FING,2049,69,6705659563649
REGION1,FING,2050,68,9846858070576
REGION1,FING,2051,68,9846858070576
REGION1,FING,2052,68,9846858070576
REGION1,FING,2053,68,9846858070576
REGION1,FING,2054,68,9846858070576
REGION1,FING,2055,68,9846858070576
REGION1,FING,2056,68,9846858070576
REGION1,FING,2057,68,9846858070576
REGION1,FING,2058,68,9846858070576
REGION1,FING,2059,68,9846858070576
REGION1,FING,2060,68,9846858070576
REGION1,FRNG,2015,1313,59419401451
REGION1,FRNG,2016,1313,59419401451
REGION1,FRNG,2017,1285,6822986013
REGION1,FRNG,2018,1257,7704031881
REGION1,FRNG,2019,1229,8585077749
REGION1,FRNG,2020,1201,9466123617
REGION1,FRNG,2021,1174,0347169485
REGION1,FRNG,2022,1181,77931878377
REGION1,FRNG,2023,1189,52392061904
REGION1,FRNG,2024,1197,26852245431
REGION1,FRNG,2025,1205,01312428958
REGION1,FRNG,2026,1212,75772612485
REGION1,FRNG,2027,1170,48984372493
REGION1,FRNG,2028,1128,22196132502
REGION1,FRNG,2029,1085,95407892511
REGION1,FRNG,2030,1043,6861965252
REGION1,FRNG,2031,1001,41831412528
REGION1,FRNG,2032,993,180052110564
REGION1,FRNG,2033,984,941790095847
REGION1,FRNG,2034,976,703528081129
REGION1,FRNG,2035,968,465266066411
REGION1,FRNG,2036,960,227004051693
REGION1,FRNG,2037,947,354339211915
REGION1,FRNG,2038,934,481674372138
REGION1,FRNG,2039,921,60900953236
REGION1,FRNG,2040,908,736344692583
REGION1,FRNG,2041,895,863679852805
REGION1,FRNG,2042,893,95096600982
REGION1,FRNG,2043,892,038252166836
REGION1,FRNG,2044,890,125538323851
REGION1,FRNG,2045,888,212824480867
REGION1,FRNG,2046,886,300110637882
REGION1,FRNG,2047,882,392591457012
REGION1,FRNG,2048,878,485072276142
REGION1,FRNG,2049,874,577553095272
REGION1,FRNG,2050,870,670033914401
REGION1,FRNG,2051,866,762514733531
REGION1,FRNG,2052,866,762514733531
REGION1,FRNG,2053,866,762514733531
REGION1,FRNG,2054,866,762514733531
REGION1,FRNG,2055,866,762514733531
REGION1,FRNG,2056,866,762514733531
REGION1,FRNG,2057,866,762514733531
REGION1,FRNG,2058,866,762514733531
REGION1,FRNG,2059,866,762514733531
REGION1,FRNG,2060,866,762514733531
REGION1,HRNG,2015,74,6672003661016
REGION1,HRNG,2016,73,3459996931121
REGION1,HRNG,2017,72,0247990201226
REGION1,HRNG,2018,70,7035983471332
REGION1,HRNG,2019,69,3823976741437
REGION1,HRNG,2020,68,0611970011543
REGION1,HRNG,2021,68,9336847194515
REGION1,HRNG,2022,69,8061724377487
